"region","crop","2009","2010","2011","2012","2013"
"08 Kalmar county","temporary grasses. First cut",3010,3000,2240,3020,3070
"08 Kalmar county","temporary grasses. Re-growth",2000,2370,2980,1820,1780
"09 Gotland county","winter wheat",5360,4430,3990,6540,5540
"09 Gotland county","spring wheat",4020,3700,4450,5020,4470
"09 Gotland county","rye",4630,..,3280,5380,..
"09 Gotland county","winter barley",5150,3550,2920,6560,4940
"09 Gotland county","spring barley",4450,3100,3640,4900,4650
"09 Gotland county","oats",3410,2690,3520,4360,3940
"09 Gotland county","Winter triticale",4500,3630,3770,6310,4820
"09 Gotland county","spring triticale",..,..,..,..,..
"09 Gotland county","mixed grain",..,..,..,..,..
"09 Gotland county","peas",3900,2560,3210,4450,3850
"09 Gotland county","field beans",..,..,..,..,..
"09 Gotland county","corn",..,..,..,..,..
"09 Gotland county","table potatoes",29450,27370,27610,32190,29630
"09 Gotland county","potatoes for processing of starch",..,..,..,..,..
"09 Gotland county","sugar beets",..,..,..,..,..
"09 Gotland county","winter rape",3290,2800,2580,4000,2890
"09 Gotland county","spring rape",2170,1240,2170,2220,2100
"09 Gotland county","winter turnip rape",..,..,..,..,..
"09 Gotland county","spring turnip rape",..,..,..,..,..
"09 Gotland county","oil flax",..,..,..,..,..
"09 Gotland county","temporary grasses",5500,6330,4750,6150,4350
"09 Gotland county","temporary grasses. First cut",3280,3750,2400,3460,2810
"09 Gotland county","temporary grasses. Re-growth",2220,2590,2350,2690,1540
"10 Blekinge county","winter wheat",6490,5820,5860,7480,6640
"10 Blekinge county","spring wheat",6220,..,5690,6790,6020
"10 Blekinge county","rye",..,..,..,..,..
"10 Blekinge county","winter barley",..,..,..,..,..
"10 Blekinge county","spring barley",4750,4190,4500,4740,4780
"10 Blekinge county","oats",4090,..,..,..,4300
"10 Blekinge county","Winter triticale",4810,5140,..,..,..
"10 Blekinge county","spring triticale",..,..,..,..,..
"10 Blekinge county","mixed grain",..,..,..,..,..
"10 Blekinge county","peas",..,..,..,..,..
"10 Blekinge county","field beans",..,..,..,..,..
"10 Blekinge county","corn",..,..,..,..,..
"10 Blekinge county","table potatoes",..,..,..,..,..
"10 Blekinge county","potatoes for processing of starch",39330,33920,37800,41880,40140
"10 Blekinge county","sugar beets",58100,53100,62000,58500,65100
"10 Blekinge county","winter rape",..,3130,3390,4030,3360
"10 Blekinge county","spring rape",..,..,..,..,..
"10 Blekinge county","winter turnip rape",..,..,..,..,..
"10 Blekinge county","spring turnip rape",..,..,..,..,..
"10 Blekinge county","oil flax",..,..,..,..,..
"10 Blekinge county","temporary grasses",..,..,..,..,4670
"10 Blekinge county","temporary grasses. First cut",..,..,..,..,3190
"10 Blekinge county","temporary grasses. Re-growth",..,..,..,..,1480
"12 Skåne county","winter wheat",8210,6600,7470,7840,7560
"12 Skåne county","spring wheat",6180,5000,5370,5800,5840
"12 Skåne county","rye",7060,6000,6340,7090,6630
"12 Skåne county","winter barley",6320,5420,5600,6890,6620
"12 Skåne county","spring barley",5960,5410,5710,6360,6240
"12 Skåne county","oats",5230,4540,5010,5420,6000
"12 Skåne county","Winter triticale",5790,5040,5200,6650,5550
"12 Skåne county","spring triticale",..,..,..,..,..
"12 Skåne county","mixed grain",..,..,..,..,..
"12 Skåne county","peas",..,2680,..,..,..
"12 Skåne county","field beans",..,..,3690,..,3600
"12 Skåne county","corn",6550,5630,7870,6340,5760
"12 Skåne county","table potatoes",30620,28990,30720,31890,31960
"12 Skåne county","potatoes for processing of starch",40290,38930,39870,43210,42630
"12 Skåne county","sugar beets",60600,52100,63000,59400,64200
"12 Skåne county","winter rape",4090,3410,3300,4020,3480
"12 Skåne county","spring rape",..,1290,1930,2460,2450
"12 Skåne county","winter turnip rape",..,..,..,..,..
"12 Skåne county","spring turnip rape",..,..,..,..,..
"12 Skåne county","oil flax",..,..,..,..,..
"12 Skåne county","temporary grasses",5710,5140,5640,5140,5090
"12 Skåne county","temporary grasses. First cut",3370,3190,3150,3200,2840
"12 Skåne county","temporary grasses. Re-growth",2340,1950,2490,1940,2250
"11 former Kristianstad county","winter wheat",..,..,..,..,..
"11 former Kristianstad county","spring wheat",..,..,..,..,..
"11 former Kristianstad county","rye",..,..,..,..,..
"11 former Kristianstad county","winter barley",..,..,..,..,..
"11 former Kristianstad county","spring barley",..,..,..,..,..
"11 former Kristianstad county","oats",..,..,..,..,..
"11 former Kristianstad county","Winter triticale",..,..,..,..,..
"11 former Kristianstad county","spring triticale",..,..,..,..,..
"11 former Kristianstad county","mixed grain",..,..,..,..,..
"11 former Kristianstad county","peas",..,..,..,..,..
"11 former Kristianstad county","field beans",..,..,..,..,..
"11 former Kristianstad county","corn",..,..,..,..,..
"11 former Kristianstad county","table potatoes",..,..,..,..,..
"11 former Kristianstad county","potatoes for processing of starch",..,..,..,..,..
"11 former Kristianstad county","sugar beets",..,..,..,..,..
"11 former Kristianstad county","winter rape",..,..,..,..,..
"11 former Kristianstad county","spring rape",..,..,..,..,..
"11 former Kristianstad county","winter turnip rape",..,..,..,..,..
"11 former Kristianstad county","spring turnip rape",..,..,..,..,..
"11 former Kristianstad county","oil flax",..,..,..,..,..
"11 former Kristianstad county","temporary grasses",..,..,..,..,..
"11 former Kristianstad county","temporary grasses. First cut",..,..,..,..,..
"11 former Kristianstad county","temporary grasses. Re-growth",..,..,..,..,..
"122 former Malmöhus county","winter wheat",..,..,..,..,..
"122 former Malmöhus county","spring wheat",..,..,..,..,..
"122 former Malmöhus county","rye",..,..,..,..,..
"122 former Malmöhus county","winter barley",..,..,..,..,..
"122 former Malmöhus county","spring barley",..,..,..,..,..
"122 former Malmöhus county","oats",..,..,..,..,..
"122 former Malmöhus county","Winter triticale",..,..,..,..,..
"122 former Malmöhus county","spring triticale",..,..,..,..,..
"122 former Malmöhus county","mixed grain",..,..,..,..,..
"122 former Malmöhus county","peas",..,..,..,..,..
"122 former Malmöhus county","field beans",..,..,..,..,..
"122 former Malmöhus county","corn",..,..,..,..,..
"122 former Malmöhus county","table potatoes",..,..,..,..,..
"122 former Malmöhus county","potatoes for processing of starch",..,..,..,..,..
"122 former Malmöhus county","sugar beets",..,..,..,..,..
"122 former Malmöhus county","winter rape",..,..,..,..,..
"122 former Malmöhus county","spring rape",..,..,..,..,..
"122 former Malmöhus county","winter turnip rape",..,..,..,..,..
"122 former Malmöhus county","spring turnip rape",..,..,..,..,..
"122 former Malmöhus county","oil flax",..,..,..,..,..
"122 former Malmöhus county","temporary grasses",..,..,..,..,..
"122 former Malmöhus county","temporary grasses. First cut",..,..,..,..,..
"122 former Malmöhus county","temporary grasses. Re-growth",..,..,..,..,..
"13 Halland county","winter wheat",6680,6480,5710,6090,6580
"13 Halland county","spring wheat",5350,4550,3390,4660,5350
"13 Halland county","rye",..,..,..,..,..
"13 Halland county","winter barley",..,5340,..,..,..
"13 Halland county","spring barley",5130,4590,4480,5020,5530
"13 Halland county","oats",4520,4410,3920,4140,5040
"13 Halland county","Winter triticale",5980,5690,4910,5680,5940
"13 Halland county","spring triticale",..,..,..,..,..
"13 Halland county","mixed grain",..,..,..,..,..
"13 Halland county","peas",..,..,..,..,..
"13 Halland county","field beans",..,..,..,..,..
"13 Halland county","corn",..,..,..,..,..
"13 Halland county","table potatoes",38060,31190,32710,35760,35940
"13 Halland county","potatoes for processing of starch",..,..,..,..,..
"13 Halland county","sugar beets",58600,50200,58500,53200,65000
"13 Halland county","winter rape",3420,3100,2300,3120,2590
"13 Halland county","spring rape",..,1510,1950,2330,2190
"13 Halland county","winter turnip rape",..,..,..,..,..
"13 Halland county","spring turnip rape",..,..,..,..,..
"13 Halland county","oil flax",..,..,..,..,..
"13 Halland county","temporary grasses",5090,5860,5750,5530,4720
"13 Halland county","temporary grasses. First cut",2710,3020,2980,2780,2240
"13 Halland county","temporary grasses. Re-growth",2370,2850,2770,2750,2490
"14 Västra Götaland county","winter wheat",5230,5740,5220,5980,5820
