"region","crop","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"05 Östergötland county","spring wheat",2.1,3.3,4.1,4.1,1.8,4.3,7.3,3.2,4.5,2.2,4.3,5.4,4.9,3.5,3.9
"05 Östergötland county","rye",1.8,3.7,2.4,2.8,3.5,3.5,2.3,2.8,2.0,2.1,3.1,3.0,3.9,..,3.2
"05 Östergötland county","winter barley",1.9,6.0,2.9,..,3.1,5.1,1.9,1.9,2.1,3.0,1.9,2.4,1.8,1.8,2.7
"05 Östergötland county","spring barley",2.0,2.9,2.1,2.7,1.8,2.6,2.6,3.1,1.9,2.6,2.5,4.0,4.6,2.1,3.3
"05 Östergötland county","oats",3.4,7.7,5.0,4.1,3.6,4.2,3.5,3.3,3.4,4.1,4.4,4.2,5.7,3.1,4.8
"05 Östergötland county","Winter triticale",3.1,5.3,3.4,2.6,3.0,2.8,2.2,2.1,2.5,5.4,2.6,3.0,3.8,2.8,2.6
"05 Östergötland county","spring triticale",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"05 Östergötland county","mixed grain",9.6,8.2,9.6,8.6,11.3,7.1,..,7.4,..,..,..,7.8,..,..,..
"05 Östergötland county","peas",2.9,3.9,2.5,5.9,3.1,2.9,2.6,2.0,2.3,2.7,2.0,4.4,3.7,1.8,3.6
"05 Östergötland county","field beans",3.6,6.0,3.3,3.5,3.0,4.6,3.7,2.6,4.1,6.0,3.4,2.2,3.5,3.3,2.3
"05 Östergötland county","corn",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"05 Östergötland county","table potatoes",1.3,1.8,1.1,1.5,1.5,1.2,1.4,2.4,2.3,2.3,1.1,1.1,1.5,1.1,1.2
"05 Östergötland county","potatoes for processing of starch",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"05 Östergötland county","sugar beets",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"05 Östergötland county","winter rape",2.3,2.5,2.5,1.9,2.9,1.2,0.9,1.8,1.5,1.9,1.6,1.1,1.0,1.6,1.8
"05 Östergötland county","spring rape",3.5,4.3,2.2,2.1,2.0,4.8,..,..,..,7.8,..,..,..,..,..
"05 Östergötland county","winter turnip rape",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"05 Östergötland county","spring turnip rape",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"05 Östergötland county","oil flax",1.9,2.1,1.6,4.0,1.7,2.6,1.4,1.8,3.6,5.0,2.4,3.6,3.2,2.2,6.1
"05 Östergötland county","temporary grasses",..,..,12.1,9.3,6.8,8.9,9.9,10.7,6.3,5.5,7.0,6.6,8.7,6.9,7.4
"05 Östergötland county","temporary grasses. First cut",5.5,6.8,7.1,6.4,5.5,6.0,9.3,8.4,5.7,6.4,5.5,6.5,6.7,5.6,7.4
"05 Östergötland county","temporary grasses. Re-growth",12.6,18.1,19.1,16.8,11.1,12.8,12.1,16.0,10.1,10.3,11.7,10.1,13.8,15.1,10.2
"06 Jönköping county","winter wheat",..,5.0,..,..,..,3.5,4.8,3.9,4.1,5.4,5.0,3.6,4.3,3.3,4.6
"06 Jönköping county","spring wheat",..,..,..,4.4,..,6.8,6.0,3.2,..,..,..,..,..,..,..
"06 Jönköping county","rye",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"06 Jönköping county","winter barley",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"06 Jönköping county","spring barley",6.7,5.3,4.9,6.2,4.5,5.6,5.1,5.3,4.2,11.3,4.3,3.2,4.2,3.9,14.9
"06 Jönköping county","oats",4.2,6.8,5.4,8.1,3.9,8.0,3.7,4.5,5.9,10.9,6.5,5.9,5.8,4.2,6.1
"06 Jönköping county","Winter triticale",8.6,..,..,..,..,6.0,6.5,..,..,..,..,..,4.5,3.6,6.3
"06 Jönköping county","spring triticale",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"06 Jönköping county","mixed grain",3.7,3.7,..,..,4.0,4.7,..,5.3,7.7,..,..,..,..,..,..
"06 Jönköping county","peas",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"06 Jönköping county","field beans",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"06 Jönköping county","corn",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"06 Jönköping county","table potatoes",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"06 Jönköping county","potatoes for processing of starch",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"06 Jönköping county","sugar beets",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"06 Jönköping county","winter rape",..,..,..,..,..,..,..,..,..,..,..,..,7.4,4.7,..
"06 Jönköping county","spring rape",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"06 Jönköping county","winter turnip rape",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"06 Jönköping county","spring turnip rape",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"06 Jönköping county","oil flax",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"06 Jönköping county","temporary grasses",..,..,12.6,6.2,8.4,7.4,7.8,8.2,6.3,6.4,4.9,6.1,5.7,7.2,8.8
"06 Jönköping county","temporary grasses. First cut",7.0,6.7,8.0,5.1,7.0,4.9,7.8,6.7,4.8,6.0,5.0,5.2,6.3,7.0,8.2
