"region","crop","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"07 Kronoberg county","winter wheat",..,..,..,..,..,5660,..,..,..,4630
"07 Kronoberg county","spring wheat",..,4830,..,4570,..,4600,..,..,..,..
"07 Kronoberg county","rye",..,..,..,..,..,..,..,..,..,..
"07 Kronoberg county","winter barley",..,..,..,..,..,..,..,..,..,..
"07 Kronoberg county","spring barley",3810,4340,4260,3930,2700,4300,4270,3160,4760,2690
"07 Kronoberg county","oats",4070,4800,4310,3920,2580,3980,4050,2970,3820,3160
"07 Kronoberg county","Winter triticale",..,5130,..,..,..,..,..,4910,5580,4040
"07 Kronoberg county","spring triticale",..,..,..,..,..,..,..,..,..,..
"07 Kronoberg county","mixed grain",..,..,..,..,..,..,..,..,..,..
"07 Kronoberg county","peas",..,..,..,..,..,..,..,..,..,..
"07 Kronoberg county","field beans",..,..,..,..,..,..,..,..,..,..
"07 Kronoberg county","corn",..,..,..,..,..,..,..,..,..,..
"07 Kronoberg county","table potatoes",..,..,..,..,..,..,..,..,..,..
"07 Kronoberg county","potatoes for processing of starch",..,..,..,..,..,..,..,..,..,..
"07 Kronoberg county","sugar beets",..,..,..,..,..,..,..,..,..,..
"07 Kronoberg county","winter rape",..,..,..,..,..,..,..,..,..,..
"07 Kronoberg county","spring rape",..,..,..,..,..,..,..,..,..,..
"07 Kronoberg county","winter turnip rape",..,..,..,..,..,..,..,..,..,..
"07 Kronoberg county","spring turnip rape",..,..,..,..,..,..,..,..,..,..
"07 Kronoberg county","oil flax",..,..,..,..,..,..,..,..,..,..
"07 Kronoberg county","temporary grasses",5510,4940,4730,5720,4070,6210,5540,5210,4230,5360
"07 Kronoberg county","temporary grasses. First cut",3160,3260,2990,3040,2660,3360,2810,2800,2720,2200
"07 Kronoberg county","temporary grasses. Re-growth",2350,1690,1740,2680,1420,2850,2730,2410,..,3160
"08 Kalmar county","winter wheat",7100,7650,6850,6850,4680,6650,7160,5520,6270,6010
"08 Kalmar county","spring wheat",4230,4680,4350,4740,2450,3620,4150,3060,3550,2530
"08 Kalmar county","rye",..,5800,..,..,..,..,5420,5050,5200,5770
"08 Kalmar county","winter barley",6500,5950,6140,5710,3480,6580,6570,5050,5250,5170
"08 Kalmar county","spring barley",4620,4920,4650,4640,2270,3710,4380,2750,3630,2970
"08 Kalmar county","oats",3780,4720,4090,3190,1870,3270,5040,2400,3200,3050
"08 Kalmar county","Winter triticale",5450,5650,6090,5010,3490,5660,5900,4350,4870,4160
"08 Kalmar county","spring triticale",..,..,..,..,..,..,..,..,..,..
"08 Kalmar county","mixed grain",..,..,..,..,..,..,..,..,..,..
"08 Kalmar county","peas",3930,3760,4130,3700,2380,3430,3720,2890,2960,3090
"08 Kalmar county","field beans",..,..,..,..,..,..,..,..,..,..
"08 Kalmar county","corn",..,..,..,..,..,..,..,..,..,..
"08 Kalmar county","table potatoes",..,..,..,..,..,..,..,..,..,..
"08 Kalmar county","potatoes for processing of starch",46870,42760,43600,47940,31350,40170,42150,40290,37060,44240
"08 Kalmar county","sugar beets",77500,61800,59400,..,..,..,..,..,..,..
"08 Kalmar county","winter rape",3820,4220,3460,3210,2950,2880,3560,3040,3120,2480
"08 Kalmar county","spring rape",..,..,..,..,..,..,..,..,..,..
"08 Kalmar county","winter turnip rape",..,..,..,..,..,..,..,..,..,..
"08 Kalmar county","spring turnip rape",..,..,..,..,..,..,..,..,..,..
"08 Kalmar county","oil flax",..,..,..,..,..,..,..,..,..,..
"08 Kalmar county","temporary grasses",4420,5290,5840,6250,3920,5590,6270,5550,4260,5040
"08 Kalmar county","temporary grasses. First cut",2230,3010,3560,2910,2670,3860,3610,3450,3240,2060
"08 Kalmar county","temporary grasses. Re-growth",2180,2280,2280,3340,1260,1730,2660,2100,1010,2990
"09 Gotland county","winter wheat",6040,7310,6480,6350,3290,6190,6320,4660,6070,4370
"09 Gotland county","spring wheat",4090,4680,4430,4250,2460,3710,4390,2750,4210,3290
"09 Gotland county","rye",4150,4620,..,5170,..,5470,5360,3620,4710,3510
"09 Gotland county","winter barley",5610,5730,6170,6050,2760,5860,6260,3970,5660,4230
"09 Gotland county","spring barley",4320,5060,4360,4460,1980,4160,4790,2840,4200,2530
"09 Gotland county","oats",3400,3480,3440,2710,1590,3260,3270,2120,3880,1950
"09 Gotland county","Winter triticale",5590,5920,5160,5340,..,5320,5840,..,..,..
"09 Gotland county","spring triticale",..,..,..,..,..,..,..,..,..,..
"09 Gotland county","mixed grain",..,..,..,..,..,..,..,..,..,..
"09 Gotland county","peas",3550,4260,4030,3790,1900,3420,3560,2690,3350,2480
"09 Gotland county","field beans",..,..,..,..,..,..,..,..,..,..
"09 Gotland county","corn",..,..,..,..,..,..,..,..,..,..
"09 Gotland county","table potatoes",31960,31790,33320,30830,25560,30630,29460,31860,..,31220
"09 Gotland county","potatoes for processing of starch",..,..,..,..,..,..,..,..,..,..
"09 Gotland county","sugar beets",..,..,..,..,..,..,..,..,..,..
"09 Gotland county","winter rape",3200,4080,3010,2890,1280,2570,2730,2550,2960,1480
"09 Gotland county","spring rape",1940,2460,1800,..,1810,..,..,2090,2290,1820
"09 Gotland county","winter turnip rape",..,..,..,..,..,..,..,..,..,..
"09 Gotland county","spring turnip rape",..,..,..,..,..,..,..,..,..,..
"09 Gotland county","oil flax",..,..,..,..,..,..,..,..,..,..
"09 Gotland county","temporary grasses",6080,5440,5590,5300,4500,4280,4030,5440,5000,4200
"09 Gotland county","temporary grasses. First cut",3570,3800,3420,3260,2650,2960,2590,3390,3760,2470
"09 Gotland county","temporary grasses. Re-growth",2510,1640,2180,2050,1850,1320,1430,2050,1240,1730
"10 Blekinge county","winter wheat",7260,7760,7100,7200,4640,7560,7700,6470,7750,6370
"10 Blekinge county","spring wheat",6760,6590,..,6790,3740,6490,6500,5120,..,..
"10 Blekinge county","rye",..,..,..,..,..,..,..,..,..,..
"10 Blekinge county","winter barley",..,..,..,..,..,..,..,..,..,..
"10 Blekinge county","spring barley",4720,4980,4550,4910,2950,4770,5450,3950,5110,3640
"10 Blekinge county","oats",4270,5030,4590,4760,2020,..,..,..,..,..
"10 Blekinge county","Winter triticale",..,5280,5040,..,..,6110,5520,..,..,..
"10 Blekinge county","spring triticale",..,..,..,..,..,..,..,..,..,..
"10 Blekinge county","mixed grain",..,..,..,..,..,..,..,..,..,..
"10 Blekinge county","peas",..,..,..,..,..,..,..,..,..,..
"10 Blekinge county","field beans",..,..,..,..,..,..,..,..,..,..
"10 Blekinge county","corn",..,..,..,..,..,..,..,..,..,..
"10 Blekinge county","table potatoes",..,..,..,..,..,..,..,..,..,..
"10 Blekinge county","potatoes for processing of starch",42100,40260,44660,42680,31350,41580,41930,41240,40590,43080
"10 Blekinge county","sugar beets",69800,48400,58900,62500,50300,67100,66900,71200,64200,58000
"10 Blekinge county","winter rape",3970,4200,3580,3540,2550,2930,3520,3260,3570,2520
"10 Blekinge county","spring rape",..,..,..,..,..,..,..,..,..,..
"10 Blekinge county","winter turnip rape",..,..,..,..,..,..,..,..,..,..
"10 Blekinge county","spring turnip rape",..,..,..,..,..,..,..,..,..,..
"10 Blekinge county","oil flax",..,..,..,..,..,..,..,..,..,..
"10 Blekinge county","temporary grasses",..,..,..,..,..,..,..,..,..,..
"10 Blekinge county","temporary grasses. First cut",..,..,..,..,..,..,..,..,..,..
"10 Blekinge county","temporary grasses. Re-growth",..,..,..,..,..,..,..,..,..,..
"12 Skåne county","winter wheat",8410,8430,7670,8520,5010,8820,8310,7500,8890,6690
"12 Skåne county","spring wheat",5820,6450,4760,5400,2840,5880,5740,4510,6430,3730
"12 Skåne county","rye",7350,6730,6540,7240,4730,7430,6770,5800,7360,5530
"12 Skåne county","winter barley",6870,6240,6090,7020,4250,7610,6800,6030,7570,5710
"12 Skåne county","spring barley",5950,6720,5400,6560,3200,6610,6430,5180,7330,3900
"12 Skåne county","oats",4950,5950,4570,5060,2560,5340,5590,4370,6000,3230
"12 Skåne county","Winter triticale",6590,6190,5770,6780,4340,6960,6100,5620,6650,4640
"12 Skåne county","spring triticale",..,..,..,..,..,..,..,..,..,..
"12 Skåne county","mixed grain",..,..,..,..,..,..,..,..,..,..
"12 Skåne county","peas",..,4550,3660,4130,2280,3350,3950,2900,4400,1860
"12 Skåne county","field beans",3500,4420,3630,4610,1520,3980,3480,2650,4370,2500
"12 Skåne county","corn",7060,..,7930,7510,4090,7020,6270,8550,6550,8210
"12 Skåne county","table potatoes",31550,33130,32370,31400,29090,33360,33310,31220,33740,33120
"12 Skåne county","potatoes for processing of starch",44620,44910,45610,43110,36380,42930,43660,42800,42160,43760
"12 Skåne county","sugar beets",73600,61100,65200,63400,55400,74800,68200,71700,64800,60600
"12 Skåne county","winter rape",3830,3910,2880,3500,2500,4350,3690,3480,4040,2330
"12 Skåne county","spring rape",..,..,..,..,..,..,..,..,..,..
"12 Skåne county","winter turnip rape",..,..,..,..,..,..,..,..,..,..
"12 Skåne county","spring turnip rape",..,..,..,..,..,..,..,..,..,..
"12 Skåne county","oil flax",..,..,..,..,..,..,..,..,..,..
"12 Skåne county","temporary grasses",6140,5540,5360,6910,4190,6510,7200,6880,5550,6040
"12 Skåne county","temporary grasses. First cut",3550,3470,2930,3640,2280,3790,3590,3600,3560,2390
"12 Skåne county","temporary grasses. Re-growth",2590,2080,2440,3280,1910,2720,3610,3270,1990,3650
"11 former Kristianstad county","winter wheat",..,..,..,..,..,..,..,..,..,..
"11 former Kristianstad county","spring wheat",..,..,..,..,..,..,..,..,..,..
"11 former Kristianstad county","rye",..,..,..,..,..,..,..,..,..,..
"11 former Kristianstad county","winter barley",..,..,..,..,..,..,..,..,..,..
"11 former Kristianstad county","spring barley",..,..,..,..,..,..,..,..,..,..
"11 former Kristianstad county","oats",..,..,..,..,..,..,..,..,..,..
"11 former Kristianstad county","Winter triticale",..,..,..,..,..,..,..,..,..,..
"11 former Kristianstad county","spring triticale",..,..,..,..,..,..,..,..,..,..
"11 former Kristianstad county","mixed grain",..,..,..,..,..,..,..,..,..,..
"11 former Kristianstad county","peas",..,..,..,..,..,..,..,..,..,..
"11 former Kristianstad county","field beans",..,..,..,..,..,..,..,..,..,..
"11 former Kristianstad county","corn",..,..,..,..,..,..,..,..,..,..
"11 former Kristianstad county","table potatoes",..,..,..,..,..,..,..,..,..,..
"11 former Kristianstad county","potatoes for processing of starch",..,..,..,..,..,..,..,..,..,..
"11 former Kristianstad county","sugar beets",..,..,..,..,..,..,..,..,..,..
"11 former Kristianstad county","winter rape",..,..,..,..,..,..,..,..,..,..
"11 former Kristianstad county","spring rape",..,..,..,..,..,..,..,..,..,..
"11 former Kristianstad county","winter turnip rape",..,..,..,..,..,..,..,..,..,..
"11 former Kristianstad county","spring turnip rape",..,..,..,..,..,..,..,..,..,..
"11 former Kristianstad county","oil flax",..,..,..,..,..,..,..,..,..,..
"11 former Kristianstad county","temporary grasses",..,..,..,..,..,..,..,..,..,..
"11 former Kristianstad county","temporary grasses. First cut",..,..,..,..,..,..,..,..,..,..
"11 former Kristianstad county","temporary grasses. Re-growth",..,..,..,..,..,..,..,..,..,..
"122 former Malmöhus county","winter wheat",..,..,..,..,..,..,..,..,..,..
"122 former Malmöhus county","spring wheat",..,..,..,..,..,..,..,..,..,..
"122 former Malmöhus county","rye",..,..,..,..,..,..,..,..,..,..
"122 former Malmöhus county","winter barley",..,..,..,..,..,..,..,..,..,..
"122 former Malmöhus county","spring barley",..,..,..,..,..,..,..,..,..,..
"122 former Malmöhus county","oats",..,..,..,..,..,..,..,..,..,..
"122 former Malmöhus county","Winter triticale",..,..,..,..,..,..,..,..,..,..
"122 former Malmöhus county","spring triticale",..,..,..,..,..,..,..,..,..,..
"122 former Malmöhus county","mixed grain",..,..,..,..,..,..,..,..,..,..
"122 former Malmöhus county","peas",..,..,..,..,..,..,..,..,..,..
"122 former Malmöhus county","field beans",..,..,..,..,..,..,..,..,..,..
"122 former Malmöhus county","corn",..,..,..,..,..,..,..,..,..,..
"122 former Malmöhus county","table potatoes",..,..,..,..,..,..,..,..,..,..
"122 former Malmöhus county","potatoes for processing of starch",..,..,..,..,..,..,..,..,..,..
"122 former Malmöhus county","sugar beets",..,..,..,..,..,..,..,..,..,..
"122 former Malmöhus county","winter rape",..,..,..,..,..,..,..,..,..,..
"122 former Malmöhus county","spring rape",..,..,..,..,..,..,..,..,..,..
"122 former Malmöhus county","winter turnip rape",..,..,..,..,..,..,..,..,..,..
"122 former Malmöhus county","spring turnip rape",..,..,..,..,..,..,..,..,..,..
"122 former Malmöhus county","oil flax",..,..,..,..,..,..,..,..,..,..
"122 former Malmöhus county","temporary grasses",..,..,..,..,..,..,..,..,..,..
"122 former Malmöhus county","temporary grasses. First cut",..,..,..,..,..,..,..,..,..,..
"122 former Malmöhus county","temporary grasses. Re-growth",..,..,..,..,..,..,..,..,..,..
"13 Halland county","winter wheat",7240,7360,6200,7340,3960,7730,7460,6490,7220,6250
"13 Halland county","spring wheat",5040,5610,4530,4790,3250,4960,5260,4300,5300,3210
"13 Halland county","rye",..,..,..,..,3950,5430,5530,6310,5840,5780
"13 Halland county","winter barley",..,..,4350,6510,..,6760,5410,5080,5910,5240
"13 Halland county","spring barley",5430,5720,4540,5500,3030,5430,5290,3830,5910,3510
"13 Halland county","oats",5060,5190,4610,4950,2570,5120,5390,3590,5830,3550
"13 Halland county","Winter triticale",6480,6190,5570,6540,3970,6910,6160,5450,6010,3320
"13 Halland county","spring triticale",..,..,..,..,..,..,..,..,..,..
"13 Halland county","mixed grain",..,..,..,..,..,..,..,..,..,..
"13 Halland county","peas",..,..,..,..,..,..,..,..,..,..
"13 Halland county","field beans",..,4130,3120,4100,1610,3190,3120,2800,4220,2790
"13 Halland county","corn",..,..,..,..,..,..,..,..,..,..
"13 Halland county","table potatoes",37830,38340,38550,32610,35110,39280,39060,38520,41190,35350
"13 Halland county","potatoes for processing of starch",..,..,..,..,..,..,..,..,..,..
"13 Halland county","sugar beets",69900,54600,58100,56700,55400,74700,66300,65800,62100,63300
"13 Halland county","winter rape",3740,3850,2990,3720,1880,3920,2950,3160,3530,2890
"13 Halland county","spring rape",2230,..,..,..,..,..,..,..,..,..
"13 Halland county","winter turnip rape",..,..,..,..,..,..,..,..,..,..
"13 Halland county","spring turnip rape",..,..,..,..,..,..,..,..,..,..
"13 Halland county","oil flax",..,..,..,..,..,..,..,..,..,..
"13 Halland county","temporary grasses",6850,6730,7010,6480,4420,7840,6570,7850,6890,6130
"13 Halland county","temporary grasses. First cut",3190,3170,3330,3420,2460,4240,3060,3720,4050,2190
"13 Halland county","temporary grasses. Re-growth",3660,3570,3680,3060,1960,3590,3510,4130,2850,3940
"14 Västra Götaland county","winter wheat",6830,7350,6060,7610,5430,7990,6990,6600,7580,6540
"14 Västra Götaland county","spring wheat",3970,4030,4260,4130,3170,4170,4000,3170,4650,2630
"14 Västra Götaland county","rye",5730,6180,5690,6130,4330,6510,5880,6150,6400,5570
"14 Västra Götaland county","winter barley",7050,6450,4810,6400,3970,6810,6060,6400,6530,6100
"14 Västra Götaland county","spring barley",4720,4810,4940,5280,3800,5490,4960,3840,5490,3610
"14 Västra Götaland county","oats",4400,4650,4870,4770,3040,4960,4610,3470,5040,3180
"14 Västra Götaland county","Winter triticale",5740,5820,4880,6080,4660,6790,5910,5920,6390,4960
"14 Västra Götaland county","spring triticale",..,..,..,..,..,..,..,..,..,..
"14 Västra Götaland county","mixed grain",3260,3770,3960,3790,2550,3620,4000,3310,4170,3160
"14 Västra Götaland county","peas",2950,3310,3530,3450,2390,3300,3010,2550,3660,2720
"14 Västra Götaland county","field beans",3610,3940,3700,3560,1290,3160,2800,2290,3650,2600
"14 Västra Götaland county","corn",..,..,..,..,..,..,..,..,..,..
"14 Västra Götaland county","table potatoes",32250,32350,33540,33110,25210,32750,32970,30790,33610,32780
"14 Västra Götaland county","potatoes for processing of starch",..,..,..,..,..,..,..,..,..,..
"14 Västra Götaland county","sugar beets",..,..,..,..,..,..,..,..,..,..
"14 Västra Götaland county","winter rape",3900,4090,2930,3640,2630,3710,3440,3700,3540,3370
"14 Västra Götaland county","spring rape",1850,1830,2040,..,..,..,..,..,2500,2230
"14 Västra Götaland county","winter turnip rape",..,..,..,..,..,..,..,..,..,..
"14 Västra Götaland county","spring turnip rape",..,..,..,..,..,..,..,..,..,..
"14 Västra Götaland county","oil flax",..,..,1750,..,..,..,..,..,..,..
"14 Västra Götaland county","temporary grasses",5290,6110,5180,5470,4390,5970,5710,5430,5400,5570
"14 Västra Götaland county","temporary grasses. First cut",2860,3690,2790,3170,2480,3390,2940,3050,3010,2270
"14 Västra Götaland county","temporary grasses. Re-growth",2430,2430,2390,2300,1910,2580,2760,2380,2390,3300
"141 former Göteborgs o Bohus county","winter wheat",..,..,..,..,..,..,..,..,..,..
"141 former Göteborgs o Bohus county","spring wheat",..,..,..,..,..,..,..,..,..,..
"141 former Göteborgs o Bohus county","rye",..,..,..,..,..,..,..,..,..,..
"141 former Göteborgs o Bohus county","winter barley",..,..,..,..,..,..,..,..,..,..
"141 former Göteborgs o Bohus county","spring barley",..,..,..,..,..,..,..,..,..,..
"141 former Göteborgs o Bohus county","oats",..,..,..,..,..,..,..,..,..,..
"141 former Göteborgs o Bohus county","Winter triticale",..,..,..,..,..,..,..,..,..,..
"141 former Göteborgs o Bohus county","spring triticale",..,..,..,..,..,..,..,..,..,..
"141 former Göteborgs o Bohus county","mixed grain",..,..,..,..,..,..,..,..,..,..
"141 former Göteborgs o Bohus county","peas",..,..,..,..,..,..,..,..,..,..
"141 former Göteborgs o Bohus county","field beans",..,..,..,..,..,..,..,..,..,..
"141 former Göteborgs o Bohus county","corn",..,..,..,..,..,..,..,..,..,..
"141 former Göteborgs o Bohus county","table potatoes",..,..,..,..,..,..,..,..,..,..
"141 former Göteborgs o Bohus county","potatoes for processing of starch",..,..,..,..,..,..,..,..,..,..
"141 former Göteborgs o Bohus county","sugar beets",..,..,..,..,..,..,..,..,..,..
"141 former Göteborgs o Bohus county","winter rape",..,..,..,..,..,..,..,..,..,..
"141 former Göteborgs o Bohus county","spring rape",..,..,..,..,..,..,..,..,..,..
"141 former Göteborgs o Bohus county","winter turnip rape",..,..,..,..,..,..,..,..,..,..
